id,title,date,company,place,position,workload,categories,text
863878fa-cd25-45d4-8d14-29bd23e18f33,Junior Projektleiter:in Online-Marketing und Social Media,"Executive 
po­si­tion",Marketing / Communications / Editorial,,100%,,"Marketing / Communications / Editorial, Online Marketing / Social Media","  Junior Projektleiter:in Online-Marketing und Social Media

  Das Berner Bildungszentrum Pflege bietet im Auftrag des Kantons Studiengänge für die
  Pflegeausbildung auf Stufe Höherer Fachschule, Nachdiplomstudiengänge und Vorberei-
  tungslehrgänge auf Berufsprüfungen sowie Höhere Fachprüfungen und Zertifikatslehr-
  gänge an. Mit mehr als 1’300 Studierenden ist es das grösste Pflegebildungszentrum auf
  tertiärer Bildungsstufe der Schweiz.
  In der Abteilung Marketing und Kommunikation suchen wir per sofort oder nach Vereinba-
  rung, befristet für ein Jahr eine/einen
  Junior Projektleiter:in Online Marketing und Social Media 50 %
  die/der mit Vorteil gerade ein Studium im Bereich Marketing oder Kommunikation absolviert
  und gute kaufmännische Kenntnisse hat.
  Aufgaben


    * Erarbeiten von Konzepten für unser Berufsmarketing

    * Entwickeln von Social Media Content (Text, Bild, Audio, Video)

    * Erstellen von Fotografien, kreativen Kurzvideos, Grafiken und Texte für diverse Kom-
      munikationskanäle

    * Community Management auf Social Media

    * Unterstützung bei der Betreuung und Pflege der Webseite

    * Administrative Arbeiten im Marketing wie Organisation von Terminen, Erstellung von
      Druckdaten, Beantwortung von Marketinganfragen, etc.


  Qualifikation


    * Fit im Umgang mit Social Media Plattformen (Instagram, Facebook, LinkedIn, YouTube,
      etc.)

    * Überzeugendes, suchmaschinenoptimiertes Texten für die Webkommunikation und
      kreatives Storytelling

    * Erste Erfahrungen in Marketing und Kommunikation, Fotografie, Video und Animation

    * Projektmanagement-Kenntnisse von Vorteil (Planung, Timing, Begleitung)

    * Kenntnisse der Adobe Creative-Cloud-Programme (Photoshop, InDesign) und Bereit-
      schaft, das Wissen zu erweitern

    * Kreatives Mindset mit Begeisterung für Trends und die Fähigkeit, Ideen zu entwickeln

    * Zuverlässiger, kontaktfreudiger und engagierter Teamplayer

    * Selbstständiges, kreatives und ergebnisorientiertes Arbeiten


  Unser Angebot
  Eine spannende, selbstständige Tätigkeit, abwechslungsreiche Projekte und Aufgaben,
  zeitgemässe Anstellungsbedingungen und ein moderner Campus in Bern.
  Haben wir Ihr Interesse geweckt? Für Auskünfte steht Ihnen Frau Geneviève Wüthrich, Lei-
  terin Marketing und Kommunikation, gerne zur Verfügung: Tel. 078 676 35 34,
  E-Mail: genevieve.wuethrich@bzpflege.ch. Bitte senden Sie Ihre vollständigen Bewer-
  bungsunterlagen an:
  Berner Bildungszentrum Pflege hr@bzpflege.ch
  Human Resources www.bzpflege.ch
  Freiburgstrasse 133, 3008 Bern Wir freuen uns auf Ihre Bewerbung!
  Berner Bildungszentrum Pflege AG Freiburgstrasse 133 3008 Bern 031 630 14 14 bzpflege.ch
"
ba1aad11-c8b9-4580-baad-c0e1876b1848,Digital Marketing Manager (m/w) 100%,Specialist,XS Stellen AG,,100%,,"Marketing / Communications / Editorial, Online Marketing / Social Media",
a1715571-0dcb-433b-8b9a-145e1b984bbf,Trainee/Intern - Digital Marketing Specialist,14 February 2022,Alcon Switzerland SA,3 Standorte,Specialist,100%,"Marketing / Communications / Editorial, Online Marketing / Social Media","  Trainee/Intern - Digital Marketing Specialist

  Alcon ist das weltweit führende Unternehmen im Bereich der Augenheilkunde, das sich dafür einsetzt, Menschen zu einem besseren Sehen zu verhelfen. Mit unserer mehr als 70-jährigen Geschichte sind wir das größte Unternehmen für Augenheilkunde weltweit - mit ergänzenden Geschäftsbereichen in der Chirurgie und der Augenheilkunde.

  Als Teil des DACH-Marketingteams werden Sie Spaß an digitalen Transformationsprojekten haben, die von der Einrichtung und dem Einsatz digitaler Tools bis hin zur Integration von Marketingautomatisierung reichen.

  In dieser Rolle werden Sie mit den verschiedenen Tools und Systemen wie Salesforce, Marketing Cloud, SiteFactory, Figma, Adobe CC, Jira usw. vertraut gemacht.

  Typische tägliche Herausforderungen wären beilspielsweise: Erstellen eines Bestellformulars auf der Landing Page oder Einrichten einer Lead Generation Journey für eine Produktschulung.

  Dies ist eine Rolle mit einer steilen Lernkurve, die am besten für jemanden geeignet ist, der eine Karriere im digitalen Bereich/Marketing beginnt und der sein digitales Wissen nutzen möchte, um die Journey unserer Kunden und Konsumenten zu verbessern.

  Sie können in Zug, Aschaffenburg oder Wien tätig sein.

  Es handelt sich um eine auf 18 Monate befristete Stelle.

  Unser Angebot für Sie:


    * Mitarbeit beim Aufbau einer digitalen Infrastruktur, die das Geschäft von Alcon in die Zukunft führen wird

    * Von der Demo zum echten Leben: Nutzen Sie Ihre Fähigkeiten und Kenntnisse, um Projekte zum Leben zu erwecken

    * DACH-Erfahrung mit Kontakt zu internationalen Teams auf der ganzen Welt

    * On-the-Job-Training durch erfahrene Kollegen

    * Funktionsübergreifende Projekte: Brand Marketing, Trade Marketing, Professional Affairs, Vertrieb


  Wer ist der/die Richtige für diese Stelle?

  Jemand, der Folgendes mitbringt...


    * Leidenschaft für Technologie

    * Neugierde, den inneren Antrieb, Neues zu entdecken und selbständig zu lernen

    * Den Wunsch, etwas zu bewegen und beruflich zu wachsen

    * Mut, konstruktives Feedback zu geben und den Status quo in Frage zu stellen

    * Verantwortungsbewusstsein und die Fähigkeit, selbständig zu arbeiten

    * Fähigkeit zur klaren Kommunikation, z. B. zur Erklärung komplexer technischer Konzepte für Kollegen, die keine Techniker sind

    * Ehrgeiz, komplexe technische Probleme zu lösen und die Art und Weise, wie Dinge erledigt werden, zu verbessern


  Was Sie für Ihren Erfolg brauchen:


    * Technisches Verständnis und exzellente Kenntnisse des Microsoft 365-Ecosystems einschließlich von cloudbasierten Tools

    * Praktisches Verständnis von CRM- und E-Mail-Automatisierungssystemen (praktische Erfahrung bevorzugt)

    * Praktisches Verständnis von HTML/CSS. Fähigkeit, einfache E-Mails/Landing Pages zu programmieren, AMPScript ist ein Plus

    * Fähigkeit, Daten sinnvoll zu strukturieren und zu präsentieren. Praktische Erfahrung mit Datenvisualisierungstools (z. B. Tableau, Google Data Studio) ist ein Plus

    * Fähigkeit, einfache Grafiken und Videos zu bearbeiten (Adobe Photoshop, Camtasia/Adobe Premier oder ähnlich)

    * Idealerweise erste Berufserfahrung, vorzugsweise im (digitalen) Marketing und/oder in der IT


  Ihr Profil:


    * Abgeschlossenes Hochschulstudium im Bereich Marketing/Informatik/Betriebswirtschaft oder Kommunikation

    * Fließend Deutsch- und Englischkenntnisse, weitere Sprachen sind von Vorteil

    * Technisch geschickt

    * Sehr gute Kenntnisse von Office-Software


"
a737b852-de1f-4909-b455-e6baef591018,Praktikant Marketing / Content Management (m/w/d),Temporary,BICO / Hilding Anders Switzerland AG,,Internship,100%,"Marketing / Communications / Editorial, Product- / Brand Management, Online Marketing / Social Media",
0d7544cd-7276-48c1-b6ff-a354b1c0a8dd,Marketing Assistenz befristet bis Ende Jahr 2022 (w/m),Temporary,Pistor AG,,100%,,"Marketing / Communications / Editorial, Marketing / Direct Marketing, Online Marketing / Social Media","None
"
abe65865-e4e6-49fc-988c-09cccde9b955,Praktikant/in Marketing (6 Monate) 80-100%,Temporary,Alexander Gonzalez GmbH Unternehmensberatung,,80% – 100%,,"Marketing / Communications / Editorial, Marketing / Direct Marketing, Online Marketing / Social Media","None
"
82a50161-491d-40fe-87e4-3066d3a580d1,Praktikant E-Commerce m/w 80-100%,Specialist,Marketing / Communications / Editorial,,80% – 100%,,"Marketing / Communications / Editorial, Online Marketing / Social Media","  Praktikant E-Commerce m/w 80-100%

  Deine Aufgaben:

  Mithilfe bei der Kreation von Social Media Konzepten und Inhalten (Texte, Bilder, GIFs, Videos etc.)
  Betreuung von Facebook, Instagram & TikTok
  Pflege und Ausbau unseres Onlineshops www.frankenspalter.ch
  Erstellen von Produktfotos-sowie dessen Texte
  Selbständiges Erarbeiten von Newslettern inklusive Bild- und Textbearbeitung
  Mitarbeiter und Organisation von internen Events
  Allgemeine unterstützende und administrative Aufgaben im Bereich Marketing und Kommunikation

  Das erwartet dich:

  6-8-monatiges Praktikum mit Möglichkeit auf eine Festanstellung
  Eine top motiviertes Team, welches es dir leicht macht, dich bei uns einzuleben und das beste aus dir herauszuholen
  Ein Unternehmen welches sehr zukunftsorientiert und ambitioniert agiert
  Flexible Arbeitszeiten an einem modernen Arbeitsplatz mit viel Raum für eigene Ideen
  Flache Hierarchien und die Möglichkeit für Weiterbildungen
  Die Chance in einem kleinen feinen Marketingteam Verantwortung zu übernehmen
  Regelmässige Mitarbeiterevents wie Grillfeste, Tischfussballturniere, Sportmöglichkeiten über den Mittag usw.
  Vergünstigter Bezug von Produkten

  Damit kannst du bei uns punkten:

  Abgeschlossene Fachausbildung im Bereich Kommunikation, Marketing oder Multimedia Production und möchtest in die schnelle Welt des Onlinehandels eintauchen
  Du bewegst dich privat täglich in der digitalen Welt und weisst welche Themen auf TikTok, Instagram und Facebook gerade angesagt sind
  Du arbeitest eigenständig, flexibel und kannst dich auch in spontane neue Aufgaben schnell eindenken
  Du kannst mit den Adobe Programmen Photoshop, InDesign oder auch Premiere Pro umgehen
  Du hast sehr gute EDV-Kenntnisse (MS-Office)
  Du sprichst und schreibst fliessend Deutsch, jede weitere Fremdsprache ist ein Gewinn

  Konnten wir dein Interesse wecken?

  Dann sende deine Bewerbung an Katrin Jocham:

  jobs@frankenspalter.ch

"
d878ae68-e21e-4adc-b993-ed1f22512e2b,Digital Executive,Specialist,Marketing / Communications / Editorial,,100%,,"Marketing / Communications / Editorial, Online Marketing / Social Media","  Digital Executive

  .

  BAT is evolving at pace - truly like no other organisation.

  To achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. Come be a part of this journey!

  BAT SWITZERLAND IS LOOKING FOR A DIGITAL EXECUTIVE (1 YEAR CONTRACT)

  SENIORITY LEVEL: Junior Management

  FUNCTION: Marketing

  SALARY RANGE: Competitive salary + excellent benefits + market leading bonus

  LOCATION: Lausanne – Switzerland

  REPORTS TO: D2C Online Manager

  WHAT YOU WILL BE ACCOUNTABLE FOR


    * Define, take responsibility, and implement e-commerce strategies on various channels for lead nurturing, customer retention and personalization

    * Content understanding and supervision of copy and visual content, flexible planning of actions incl. coordination with other departments and off-/online communication channels as well as social media

    * A/B tests to continuously seek opportunities to improve KPIs, drive personalization and elevate the customer experience

    * Develop and monitor campaign budgets

    * Prepare accurate reports on our marketing campaign’s overall performance and engage with senior stakeholders

    * Coordinate with our advertising and media experts to improve marketing results

    * Evaluate important metrics that affect our website traffic and target audience

    * Work with the team to brainstorm new and innovative growth strategies

    * Find and coordinate synergies with other teams to identify successful strategies

    * Oversee and manage the different digital projects in scope


  CAN THIS BE YOUR FUTURE ROLE?

  You...


    * Have an entrepreneurial mindset with the ability to deliver high quality in a fast-moving environment

    * Are proactive, have a sense of ownership and take pride in your performance and its impact on company’s success

    * Have a thing for technology and the digital world in general and are up to date in the latest trends


  ESSENTIAL EXPERIENCE, SKILLS AND KNOWLEDGE


    * Bachelor’s degree in marketing or relevant field or equivalent experience

    * A minimum of 3 years’ experience in digital marketing / e-commerce

    * In-depth and excellent knowledge of website and e-commerce analytics

    * Proficient English and/or French and/or German

    * Understanding of SEO, SEM & Traffic Acquisition in general

    * Metrics-driven, with experience in analysing e-commerce user behaviour & CRM activities for continuous improvements


  BENEFICIAL


    * Experience with marketing automation/CRM tools, Salesforce a plus

    * Experience with Magento a plus

    * Web Analytics, i.e., Google Analytics, Power BI


  WE ARE BAT

  At BAT we are committed to our Purpose of creating A Better Tomorrow. This is what drives our people and our passion for innovation. See what is possible for you at BAT.


    * An excellent working environment within a young, dynamic, and motivated team

    * An international and diverse work atmosphere

    * A competitive, above-average salary

    * Remote work up to 60% within Swiss territory


    * Global Top Employer with 53,000 BAT people across more than 180 markets

    * Diversity leader in the Financial Times and International Women’s Day Best Practice winner

    * Seal Award winner – one of 50 most sustainable companies


  BELONGING, ACHIEVING, TOGETHER

  Collaboration, diversity, and teamwork underpin everything we do here at BAT. We know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. Come bring your difference!

  .

"
fdd74df7-9684-4f42-8930-4a25fb4911a4,Praktikant*in E-Commerce 80-100 % (m/w/d),28 March 2022,MOORIS.ch AG,Zürich,Specialist,80% – 100%,"Marketing / Communications / Editorial, Online Marketing / Social Media","  Praktikant*in E-Commerce 80-100 % (m/w/d)

  Praktikant*in E-Commerce 80-100 % (m/w/d)

  Zürich, Schweiz

  •

  Operations

  Team-Intro

  Mooris.ch ist dein Schweizer Freund und leidenschaftlicher Stil-Berater. Täglich präsentiert er liebevoll ausgesuchte Möbel, Mode und Wohn-Accessoires online und in seinen Showrooms – in der Schweiz und neu auch in Deutschland. Bei Einrichtungsfragen berät er dich persönlich mit viel Herzblut und Wissen.

  Hinter Mooris.ch steht sein Team aus über fünfzig charismatischen ‘Moorisianer*innen’: Profis aus Einkauf, Marketing, Fotografie, Text, Styling, Logistik, Entwicklung und Einrichtungsberatung.

  Arbeitsbeschreibung

  In diesem Praktikum bekommst du einen Einblick in die Welt des E-Commerce und unterstützt unser Team bezüglich diversen administrativen Belangen.

  Arbeitspensum: 80-100 %

  Arbeitsort: Zürich (Home Office möglich)

  Praktikumsdauer: mind. 6 Monate

  Deine Aufgaben


    * Unterstützung bei der Pflege von Stammdaten

    * Abklärung administrativer Informationen


  Dein Profil


    * Faible für E-Commerce und Leidenschaft für schöne Möbel

    * Grosse Detailverliebtheit und sorgfältige Arbeitsweise

    * Kaufmännische oder IT-Ausbildung von Vorteil

    * Selbstständigkeit und Präzision auch bei repetitiven Arbeiten am Computer

    * Pflichtbewusstsein und Wille, dich weiterzuentwickeln

    * Fliessende Deutsch- und gute Englischkenntnisse in Wort und Schrift


  Wir freuen uns, wenn du schon bald Teil unseres Teams aus Mode, Wohnen und Lifestyle wirst. Tauche während ca. 6 Monaten ein in etwas Neues, Pulsierendes und schnell Wachsendes.

  Mooris bietet dir eine freundliche und familiäre Arbeitsatmosphäre. Bei uns herrschen Du-Kultur und flache Hierarchien. Allen Mitarbeitenden stehen fünf Wochen Ferien zur Verfügung. Deine eigene Meinung wollen wir hören: Du hast die Möglichkeit, Mooris mit deinen Ideen mitzuprägen.

  Wenn du neugierig und begeisterungsfähig für eine neue Herausforderung bei uns bist, freuen wir uns über deine Bewerbung.

  Jetzt bewerben

"
8a44810c-1c8c-442c-af6a-1239eed5a852,E-Commerce Praktikum Customer Care & Repair Management,Specialist,Marketing / Communications / Editorial,,100%,,"Marketing / Communications / Editorial, Online Marketing / Social Media","  E-Commerce Praktikum Customer Care & Repair Management

  E-Commerce Praktikum Customer Care & Repair
  Management
  fischen.ch ist der führende Schweizer Online-Shop für Fischerei Equipment.
  Für unser Kundendienst Team suchen wir weitere Unterstützung. Der
  Kundendienst ist die zentrale Stelle zwischen unseren verschiedenen Abteilungen
  und bietet deshalb den besten Einblick in die verschiedenen Bereiche des
  E-Commerces und die Möglichkeit an spannenden laufenden Projekten
  mitzuwirken. Zudem bist Du die Schnittstelle zwischen unseren Kunden und Ihrem
  Equipment!
  Wir freuen uns auf Dich!
  Deine Aufgaben:
  ●
  Selbständige Bearbeitung von Kundenanfragen jeglicher Art (Beratung,
  Reklamationen, Auskunft zu Bestellungen, Debitorenmanagement)
  ●
  Betreuung unserer Kundendienstkanäle (Mail, Hotline, Chat, Live-Shopping)
  ●
  Erfassung & Abwicklung von Reparaturen
  ●
  Unterstützung des fischen.ch Teams in anfallenden Aufgaben des Tagesgeschäfts
  (Unterstützung des Einkaufs, Logistik, Marketing, Eventorganisation) und bei
  laufenden Projekten im Online-Shop
  ●
  Mitarbeit im fischen.ch Ladenlokal
  Das bringst Du mit:
  ●
  Fischen steht bei Dir an erster Stelle
  ●
  Freude im Umgang mit Kunden
  ●
  Wissensdurst und rasche Auffassungsgabe
  ●
  Gute organisatorische Fähigkeiten
  ●
  Deutsch beherrschst Du fliessend in Wort und Schrift
  ●
  Fremdsprachen von Vorteil
  Darum fischen.ch:
  ●
  Wir sind der #1 Online-Shop fürs Fischen in der Schweiz
  ●
  Du bist umgeben von einem engagierten, motivierten Team aus leidenschaftlichen
  Fischern
  ●
  Dich erwartet ein freundschaftliches und professionelles Arbeitsklima
  ●
  Du hast die Möglichkeit Dich zu entfalten und weiterzuentwickeln
  Standort: Langenthal (Mit Homeoffice Möglichkeiten)
  Pensum: Praktikum 100% (befristet für 6 Monate)
  Start: ab 01. Januar 2022 oder nach Vereinbarung
  Telefon: :0800 777 066
  Wir freuen uns auf Deine Unterlagen per Mail an info@fischen.ch
"
